filename,width,height,class,xmin,ymin,xmax,ymax
ssd-m2 (36).png,64,64,ssd-m2,2,13,63,49
ssd-m2 (37).png,64,64,ssd-m2,7,14,57,50
ssd-m2 (38).png,64,64,ssd-m2,4,19,59,48
ssd-m2 (39).png,64,64,ssd-m2,2,17,62,43
ssd-m2 (4).png,64,64,ssd-m2,1,15,64,43
ssd-m2 (40).png,64,64,ssd-m2,7,19,58,45
ssd-m2 (41).png,64,64,ssd-m2,2,17,64,47
ssd-m2 (42).png,64,64,ssd-m2,1,19,64,43
ssd-m2 (43).png,64,64,ssd-m2,1,20,64,43
ssd-m2 (44).png,64,64,ssd-m2,13,20,54,43
ssd-m2 (45).png,64,64,ssd-m2,2,19,61,46
ssd-m2 (46).png,64,64,ssd-m2,3,17,61,46
ssd-m2 (47).png,64,64,ssd-m2,3,27,60,38
ssd-m2 (5).png,64,64,ssd-m2,1,14,64,49
ssd-m2 (6).png,64,64,ssd-m2,1,20,58,41
ssd-m2 (7).png,64,64,ssd-m2,4,17,59,46
ssd-m2 (8).png,64,64,ssd-m2,1,15,64,43
ssd-m2 (9).png,64,64,ssd-m2,1,14,64,51
ssd-sata (1).png,64,64,ssd-sata,2,15,62,48
ssd-sata (10).png,64,64,ssd-sata,4,4,61,59
ssd-sata (11).png,64,64,ssd-sata,1,11,64,53
ssd-sata (12).png,64,64,ssd-sata,1,10,62,55
ssd-sata (13).png,64,64,ssd-sata,8,16,56,46
ssd-sata (14).png,64,64,ssd-sata,2,11,62,52
ssd-sata (15).png,64,64,ssd-sata,12,1,51,64
ssd-sata (16).png,64,64,ssd-sata,3,16,61,54
ssd-sata (17).png,64,64,ssd-sata,1,14,62,48
ssd-sata (18).png,64,64,ssd-sata,7,14,57,52
ssd-sata (19).png,64,64,ssd-sata,13,1,51,64
ssd-sata (2).png,64,64,ssd-sata,1,4,64,58
ssd-sata (20).png,64,64,ssd-sata,5,17,61,47
ssd-sata (21).png,64,64,ssd-sata,4,16,58,48
ssd-sata (22).png,64,64,ssd-sata,6,8,53,60
ssd-sata (23).png,64,64,ssd-sata,3,17,61,47
ssd-sata (24).png,64,64,ssd-sata,8,9,56,56
ssd-sata (25).png,64,64,ssd-sata,6,9,60,58
ssd-sata (26).png,64,64,ssd-sata,1,12,64,51
ssd-sata (27).png,64,64,ssd-sata,6,9,60,58
ssd-sata (28).png,64,64,ssd-sata,2,13,61,51
ssd-sata (29).png,64,64,ssd-sata,5,3,58,60
ssd-sata (3).png,64,64,ssd-sata,1,11,64,52
ssd-sata (30).png,64,64,ssd-sata,7,10,58,50
ssd-sata (31).png,64,64,ssd-sata,4,11,61,51
ssd-sata (32).png,64,64,ssd-sata,6,9,59,49
ssd-sata (33).png,64,64,ssd-sata,3,11,61,53
ssd-sata (34).png,64,64,ssd-sata,2,7,62,54
ssd-sata (35).png,64,64,ssd-sata,6,12,57,46
ssd-sata (36).png,64,64,ssd-sata,3,17,61,41
ssd-sata (37).png,64,64,ssd-sata,6,13,59,49
ssd-sata (38).png,64,64,ssd-sata,4,18,60,45
ssd-sata (39).png,64,64,ssd-sata,4,13,61,51
ssd-sata (4).png,64,64,ssd-sata,6,11,57,51
ssd-sata (40).png,64,64,ssd-sata,1,17,63,49
ssd-sata (41).png,64,64,ssd-sata,7,14,56,48
ssd-sata (42).png,64,64,ssd-sata,6,24,60,44
ssd-sata (43).png,64,64,ssd-sata,6,15,57,48
ssd-sata (44).png,64,64,ssd-sata,1,14,64,49
ssd-sata (45).png,64,64,ssd-sata,2,12,62,50
ssd-sata (46).png,64,64,ssd-sata,9,7,64,53
ssd-sata (47).png,64,64,ssd-sata,1,13,63,50
ssd-sata (5).png,64,64,ssd-sata,3,11,62,47
ssd-sata (6).png,64,64,ssd-sata,1,5,63,59
ssd-sata (7).png,64,64,ssd-sata,4,8,61,49
ssd-sata (8).png,64,64,ssd-sata,2,12,63,51
ssd-sata (9).png,64,64,ssd-sata,9,7,53,53
